evidence_id,study_id,sample_family,source_type,title,authors,year,doi,url,design,country_climate,season,population,sample_size,activity,outcome_domain,comparison,input_definition_unit_aggregation,outcome_measure,finding_effect_uncertainty,condition_range,location_in_source,confounders_bias,applicability_limits,korea_directness,access_status,evidence_strength,strength_rationale,code_implication,conversion_note,search_ids
HC01,HC-S01,CARIBBEAN_CTO_2008_2017; 명세는 Rutty2013 등의 선호표본 재사용,index_development,An Inter-Comparison of the Holiday Climate Index (HCI:Beach) and the Tourism Climate Index (TCI) to Explain Canadian Tourism Arrivals to the Caribbean,Michelle Rutty; Daniel Scott; Lindsay Matthews; Ravidya Burrowes; Adrian Trotman; Roché Mahon; Amanda Charles,2020,10.3390/atmos11040412,https://www.mdpi.com/2073-4433/11/4/412,지수 명세 및 생태학적 시계열 회귀,캐나다 출발→Antigua and Barbuda/Barbados/Saint Lucia; 열대,2008–2017 전 계절; Barbados 2016 종료,캐나다 거주 관광객의 목적지 도착 기록; expatriate 제외,목적지별 120/108/120개월(Table7 각주); 개인 설문 N 아님,relax/beach_tourism,B1,HCI 명세 vs 단일 시각 대입,일최고기온+평균RH→Humidex; CC%; 일강수mm; 풍속km/h; 일점수,진술 선호 기반 지수 명세,"2TC+4A+3P+W; 가중20/40/30/10. Table3 최고 TC구간은 Humidex28.0–30.9, 기온/수온 아님. 관측효과나 안전경계가 아님.",명세 Tables2–6,§3–4;Tables2–6,기존 문헌의 다양한 표본·질문이 통합됨; 계수 추정 불확실성 없음,일집계·변수 정의 보존 필요; SKY범주/1h강수/POP 치환 불가,해외 간접; 한국/개별 활동 전이 미검증,full_text_checked,낮음,명세는 확인되나 한국 행동·안전 검증이 아님,HCI 수식은 연구 비교 기준으로 유지; 운영 가중/임계 전이 보류,원문/초록 보고값 그대로; 효과 재계산·단위변환 없음; 시간·온도 척도 전환 금지,HC-Q01;HC-R01;HC-R02a
HC02,HC-S01,CARIBBEAN_CTO_2008_2017; 명세는 Rutty2013 등의 선호표본 재사용,index_development,An Inter-Comparison of the Holiday Climate Index (HCI:Beach) and the Tourism Climate Index (TCI) to Explain Canadian Tourism Arrivals to the Caribbean,Michelle Rutty; Daniel Scott; Lindsay Matthews; Ravidya Burrowes; Adrian Trotman; Roché Mahon; Amanda Charles,2020,10.3390/atmos11040412,https://www.mdpi.com/2073-4433/11/4/412,지수 명세 및 생태학적 시계열 회귀,캐나다 출발→Antigua and Barbuda/Barbados/Saint Lucia; 열대,2008–2017 전 계절; Barbados 2016 종료,캐나다 거주 관광객의 목적지 도착 기록; expatriate 제외,목적지별 120/108/120개월(Table7 각주); 개인 설문 N 아님,beach_tourism,B2,"HCI:Beach vs TCI, 동일 목적지 도착기록",일점수의 월평균; 월별 도착자,선형회귀 R²,"Canada total HCI R²=.58/.56/.69, TCI=.57/.41/.63(세 목적지 순서); CI/외부검증 미보고",120/108/120개월,§4–6;Table7 및 각주,휴가·항공편·출발지겨울·가격·추세/계절 자기상관 등; 개별 입수정보 없음,지역 도착을 개인 수영선호 또는 인과로 해석 불가,해외 간접; 한국/개별 활동 전이 미검증,full_text_checked,낮음,생태학적 설명력이며 인과·활동 판별 성능 아님,활동간 순위/시간대 추천의 검증으로 사용하는 주장 폐기,원문/초록 보고값 그대로; 효과 재계산·단위변환 없음; 시간·온도 척도 전환 금지,HC-Q01;HC-R01;HC-R02a
HC03,HC-S02,CARIBBEAN_SURVEY_2012_472; HC-S03와 중복 가능성 높음(저자·섬·N 일치); 개인자료 대조 안 함,empirical_peer_reviewed,Differential climate preferences of international beach tourists,Michelle Rutty; Daniel Scott,2013,10.3354/cr01183,https://doi.org/10.3354/cr01183,현장 횡단면 진술 선호 설문,Barbados/Saint Lucia/Tobago; 열대,"2012년3–4월,18일",마른 해변에 있던 관광객; 입수 중 사람 제외; 영어 응답; 온대/열대 거주자,472명;216/126/130명;응답률89%,relax/beach_tourism,B1,온대 vs 열대 거주자,"기온 °C, 설문상 이상적 일조건",진술 이상 기온,"온대27–30°C, 열대30°C; 그룹차 F(1,447)=39.419,p<.001; CI미보고",실제 조사일 평균/최고기온27–30°C; 선호질문은 더 넓은 조건,Methods;Results;Table5,자기선택·영어·건기·여행투자·이미 해변방문한 표본; 입수자는 누락,단일 보편 최적기온 대신 모집단별 검증 필요,해외 간접; 한국 몬순·당일여행 전이 미검증,full_text_checked,낮음,횡단면 진술 선호; 외삽 불확실,모든 한국 이용자에게 동일 기온곡선 적용 보류,원문/초록 보고값 그대로; 효과 재계산·단위변환 없음; 시간·온도 척도 전환 금지,HC-Q04;HC-R02c
HC04,HC-S02,CARIBBEAN_SURVEY_2012_472; HC-S03와 중복 가능성 높음(저자·섬·N 일치); 개인자료 대조 안 함,empirical_peer_reviewed,Differential climate preferences of international beach tourists,Michelle Rutty; Daniel Scott,2013,10.3354/cr01183,https://doi.org/10.3354/cr01183,현장 횡단면 진술 선호 설문,Barbados/Saint Lucia/Tobago; 열대,"2012년3–4월,18일",마른 해변에 있던 관광객; 입수 중 사람 제외; 영어 응답; 온대/열대 거주자,472명;216/126/130명;응답률89%,relax/beach_tourism,B1,온대 vs 열대 거주자,"일강수 지속시간(설문 범주), 시간/day",받아들이기 어려운 일조건,"온대 다수 >2h 비를 불수용(64%); 열대 >5h(91%). 2–4h범주 그룹차 χ²15.918,p<.001",설문 선택지; 강수량·확률은 측정대비 아님,Results;Table2,문화/기후 적응과 여행거리 동시 차이; 실제 비 회피 행동 미측정,강수 지속시간의 선호를 mm/day나 POP로 치환 불가,해외 간접; 한국 몬순·당일여행 전이 미검증,full_text_checked,낮음,진술 범주와 관측강우량의 교환관계 미검증,강수확률·강수량·지속시간 구별 유지,원문/초록 보고값 그대로; 효과 재계산·단위변환 없음; 시간·온도 척도 전환 금지,HC-Q04;HC-R02c
HC05,HC-S03,CARIBBEAN_SURVEY_2012_472_probable; HC-S02와 독립으로 계수하지 않음,empirical_peer_reviewed,Bioclimatic comfort and the thermal perceptions and preferences of beach tourists,Michelle Rutty; Daniel Scott,2015 (online 2014),10.1007/s00484-014-0820-x,https://pubmed.ncbi.nlm.nih.gov/24671407/,동시 미기상 측정+현장 열감각 설문,Barbados/Saint Lucia/Tobago; 열대,초록 미보고,해변 이용자; 세부 연령/장비/입수노출 미확인,472명,relax/beach_tourism,A,현장 UTCI 조건별 선호 응답,"UTCI°C, 동시 현장 미기상; 집계 세부 초록 미보고",열감각 및 더 시원/그대로/따뜻 선호,UTCI39°C에서62% 변화불원·10% 더 따뜻 선호; 신뢰구간미보고,관측 UTCI32–39°C,PubMed Abstract,이미 해변을 선택한 생존/선택 표본; 지수스트레스 vs 선호 차이; 개인자료 미확인,UTCI는 기온/수온이 아니며 주관적 만족은 열안전 증명 아님,해외 간접,abstract_only,매우 낮음,원문 미확인; HC-S02와 중복 가능,육상 표준 쾌적 범위를 해변에 기계적 대입하거나 선호를 안전으로 표시하는 해석 폐기,원문/초록 보고값 그대로; 효과 재계산·단위변환 없음; 시간·온도 척도 전환 금지,HC-Q02;HC-Q04;HC-R02b;HC-R04
HC06,HC-S04,KOREA_PUBLIC_POOL_2008_2014,empirical_peer_reviewed,Impact of Climate Change on the Preferred Season for Outdoor Water Activities,Songyi Kim; Jin-Han Park; Dong Kun Lee,2017,10.3390/su9091535,https://www.mdpi.com/2071-1050/9/9/1535,공공 야외수영장 일별 방문기록의 관찰 회귀; 미래 시나리오 적용,한국 서울/대구/부산,"서울2009–13,대구2008–14,부산2012–14; 7–8월 평일,8월첫주 제외",9개 공공 야외수영장 입장자 집계; 개인 연령/수영시간 미수집,원자료1384/300/217일;분석792/157/96 pool-day; 기온구간 평균 회귀121/84/51점,swim_pool_visitation,B2,도시별 일기온 vs 표준화 방문수,일최고기온°C; pool/year 내 방문 Z-score,방문수와 상관/회귀,r=.512/.397/.448; 기온개별자료 cubic R²=.27/.19/.27; 논문 제안범위24.6–35.0/25.5–35.5/27.4–34.4°C; CI미보고,관리 수영장 여름 평일; 범위는 회귀곡선에서 설정,"Data and Analysis;Preferred Weather Conditions;Tables3,5–7",주말·성수기 제거로 적용범위 좁음; 혼잡/휴장/가격/대체해변; 기온구간 평균은 독립검증 아님,참여자를 세지 않은 방문집계. 자연수역 수영 안전·실제 입수선택 경계 아님,한국 행동 자료이나 관리 수영장→해변/계곡/개인 입수는 간접,full_text_checked,낮음,한국 행동 원자료이나 생태학적 연관 및 분석선택 큼,한국 후보곡선 가설로만 사용; 1시간/아동 안전기준으로 사용 보류,원문/초록 보고값 그대로; 효과 재계산·단위변환 없음; 시간·온도 척도 전환 금지,HC-Q05;HC-R02d
HC07,HC-S04,KOREA_PUBLIC_POOL_2008_2014,empirical_peer_reviewed,Impact of Climate Change on the Preferred Season for Outdoor Water Activities,Songyi Kim; Jin-Han Park; Dong Kun Lee,2017,10.3390/su9091535,https://www.mdpi.com/2071-1050/9/9/1535,공공 야외수영장 일별 방문기록의 관찰 회귀; 미래 시나리오 적용,한국 서울/대구/부산,"서울2009–13,대구2008–14,부산2012–14; 7–8월 평일,8월첫주 제외",9개 공공 야외수영장 입장자 집계; 개인 연령/수영시간 미수집,원자료1384/300/217일;분석792/157/96 pool-day; 기온구간 평균 회귀121/84/51점,swim_pool_visitation,B2,일강수와 방문수,일강수 mm/day; POP 미사용,방문수 상관 및 로그곡선,r=-.338/-.429/-.271. 논문강수경계36.5/31.5/26.5mm는 곡선기울기 규칙에서 설정; CI미보고,동일 분석기간,"Preferred Weather Conditions;Tables5,8",곡선형태·평균화·자의적 기울기 기준; 경계 아래 무영향이라는 의미 아님,안전 최대강수/시간당강수·확률로 전환 불가,한국 행동 자료이나 관리 수영장→해변/계곡/개인 입수는 간접,full_text_checked,낮음,국내 원자료지만 임계값의 외부검증 없음,한계량을 무강수 선호나 안전 STOP값으로 이식하는 해석 폐기,원문/초록 보고값 그대로; 효과 재계산·단위변환 없음; 시간·온도 척도 전환 금지,HC-Q05;HC-R02d
HC08,HC-S04,KOREA_PUBLIC_POOL_2008_2014,empirical_peer_reviewed,Impact of Climate Change on the Preferred Season for Outdoor Water Activities,Songyi Kim; Jin-Han Park; Dong Kun Lee,2017,10.3390/su9091535,https://www.mdpi.com/2071-1050/9/9/1535,공공 야외수영장 일별 방문기록의 관찰 회귀; 미래 시나리오 적용,한국 서울/대구/부산,"서울2009–13,대구2008–14,부산2012–14; 7–8월 평일,8월첫주 제외",9개 공공 야외수영장 입장자 집계; 개인 연령/수영시간 미수집,원자료1384/300/217일;분석792/157/96 pool-day; 기온구간 평균 회귀121/84/51점,swim_pool_visitation,B2,기온 vs 불쾌지수 정보중복,THI(기온+RH)와 일최고기온; RH 표기의 정규화 주의,노출변수간 Pearson r,기온–THI r=.940/.942/.506; 저자들은 다음 회귀에서 THI 제외,동일 분석자료,Preferred Weather Conditions;Table5;Eq2,해당 표본에서 공선성; 습도가 모든 맥락에서 무용하다는 증거 아님,원시T/RH와 열지수를 무조건 각각 가중하면 중복; 대안모델 비교 필요,한국 행동 자료이나 관리 수영장→해변/계곡/개인 입수는 간접,full_text_checked,중간,동일 자료에서 중복이 직접 관찰됨; 인과효과 분리는 불가,raw T+RH 모델 또는 적합 열지수모델 중 비교; 삼중가중 보류,원문/초록 보고값 그대로; 효과 재계산·단위변환 없음; 시간·온도 척도 전환 금지,HC-Q05;HC-R02d
HC09,HC-S05,WOLJEONG_2015_869,empirical_peer_reviewed,여름철 해변지역의 인간 열환경지수 및 열쾌적성 - 제주특별자치도 제주시 구좌읍 월정리 해변 -,박수국; 신지환; 조상만; 현철지; 강훈,2016,10.9715/KILA.2016.44.4.100,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002141334,동시 미기후 측정+ISO10551 기반 현장 설문,한국 제주 월정리 해변,2015년 봄·여름,성인 해변 이용자; 구체적 활동/장비 원문 미확인,성인869명,beach_visitors (입수·장비 상태 원문 미확인),A,열감각 vs 평가 vs 수용도,PET°C; 미기상동시측정; 집계 세부 원문 미확인,ISO10551 기반 각 결과,중립PET25–27°C와 평가 기반21–32°C가 다름; 수용도 R²=.211; CI미보고,"성인,봄·여름,한 해변",KCI Abstract/KoreaScience Abstract,전체원문/회귀집계/활동별차 미확인; 내륙도시와 차이를 곧 한국전체로 일반화 불가,초록 한정 한국 성인 해변 A; 실제 입수·장비 상태 미확인으로 입수중 쾌적성 근거로 사용하지 않음. PET°C를 기온/수온°C로 대체하거나 아동·고령자에 확대하지 않음.,한국 해변의 성인 A에 직접; 수영중·아동·전국 전이는 간접,abstract_only,낮음,성인 국내 직접성 있으나 초록만 확인,relax 쾌적·열감각·수용도 결과 분리; 최적수치 제품 적용 보류,원문/초록 보고값 그대로; 효과 재계산·단위변환 없음; 시간·온도 척도 전환 금지,HC-Q05;HC-Q06;HC-Q10;HC-Q13;HC-R03;HC-R08;HC-R09b
HC10,HC-S06,ONTARIO_PINERY_SANDBANKS; 선호 선행표본과 중복 여부 미확인,empirical_peer_reviewed,Development of a data-driven weather index for beach parks tourism,Lindsay Matthews; Daniel Scott; Jean Andrey,2021 (online 2019),10.1007/s00484-019-01799-7,https://link.springer.com/article/10.1007/s00484-019-01799-7,현지 최적화 지수와 방문자료 회귀,캐나다 Ontario의 Pinery/Sandbanks 공원; Great Lakes,초록 미보고,해변 공원 방문기록; 입수 선택 아님,2공원; 분석 월수/개인N 초록 미보고,relax/beach_park,B2,현지최적화 vs HCI,일기상4요인→일점수→월평균,공원 방문자료 R²,최적화 R²=.734/.657; HCI=.668/.427. 초록에 외부검증/CI/표본수 없음,Pinery/Sandbanks,Publisher Abstract,최적화 자료의 과적합/검증분할 미확인; 지역/활동범위 차이,HCI 고정가중의 보편우월성 주장은 지지 안 됨; 최적화 개선도 독립검증 필요,해외 간접,abstract_only,매우 낮음,초록만; in/out-of-sample 판별 못함,현지 자료 보정 및 계절/장소 외부검증 설계 필요,원문/초록 보고값 그대로; 효과 재계산·단위변환 없음; 시간·온도 척도 전환 금지,HC-Q02;HC-Q07;HC-R05
