evidence_id,study_id,sample_family,source_type,title,authors,year,doi,url,design,country_climate,season,population,sample_size,activity,outcome_domain,comparison,input_definition_unit_aggregation,outcome_measure,finding_effect_uncertainty,condition_range,location_in_source,confounders_bias,applicability_limits,korea_directness,access_status,evidence_strength,strength_rationale,code_implication,conversion_note,search_ids
AC01,AC-S01,Barlow2014_39surfers_60sessions,empirical_peer_reviewed,The effect of wave conditions and surfer ability on performance and the physiological response of recreational surfers,Barlow MJ; Gresty K; Findlay M; Cooke CB; Davidson MA,2014,10.1519/JSC.0000000000000491,https://researchportal.plymouth.ac.uk/en/publications/the-effect-of-wave-conditions-and-surfer-ability-on-performance-a/,관찰; GPS·심박계,영국 연구진; 실제 조사 해변·기후 초록 미확인,NR,레크리에이션 서퍼,39명; 60세션(독립60명 아님),surf,C_related_workload (가능/안전 직접결과 아님),세션간 파랑·숙련 차이,파고·주기·숙련; 세션; 정의·단위 원문미확인,심박 부하·GPS 수행,파고와 총에너지소모 rpartial=-0.351(p≤.05); 주기와 상대평균심박 r=.490(p<.01). CI NR.,초록에서 상세 범위 미확인,"Abstract, J Strength Cond Res 28(10):2946–2953",자기선택 세션·숙련·장소; 반복세션 처리 원문 미확인,수행/생리부하 결과이며 만족·참여선택·사고율 아님,해외 간접,abstract_only,낮음,객관적 측정이나 관찰·초록한정,파고·주기·숙련 분리; 높은파고=항상 더큰생리부하라는 단조가정 보류.,원문값; 변환/재계산 없음,ac-q02;ac-o04;ac-o07
AC02,AC-S02,Boque2021_Iberia470_MayOct2020,empirical_peer_reviewed,Which Meteorological and Climatological Information Is Requested for Better Surfing Experiences? A Survey-Based Analysis,Boqué Ciurana A; Aguilar E,2021,10.3390/atmos12030293,https://www.mdpi.com/2073-4433/12/3/293,온라인 편의표본 설문,이베리아; 대서양·지중해,2020-05-19–10-17,이베리아 서핑 경험이 있는 16세 초과; SNS/서핑방송 모집,470,surf,B1_information_need (선호조건/실제선택 아님),예보변수 복수선택,파고/주기/풍향/풍속 정보 조회 여부; 회상설문; 환경노출단위 해당없음,정보조회 변수 응답비율,"조회비율 파고91.91%, 주기89.79%, 풍향85.74%, 풍속79.36%; 현지예보·숙련별 설명 수요. 확률표본 CI 아님.",초록에서 상세 범위 미확인,§2.1–2.2; §3.1/Fig3; §3.2.1,관심 높은 SNS 이용자의 선택편향; 확률표본 아님,정보 조회 비율은 효용 가중치·최적조건·실제 참여율 아님,해외 간접,full_text_checked,낮음,원자료 설문; 인식·자가보고에 한정,네 파랑·바람 변수를 자료정의 후보로 유지; 비율을 가중치로 전환하지 않기.,원문값; 변환/재계산 없음,ac-q02;ac-q12;ac-o01;ac-o06;ac-o17
AC03,AC-S03,Dolores_Vandas1990_ShelbyWhittaker1995,empirical_peer_reviewed,Flows and Recreation Quality on the Dolores River: Integrating Overall and Specific Evaluations,Shelby B; Whittaker D,1995,NR,https://site-media.americanwhitewater.org/Document_516.pdf,우편 회상·규범평가 설문,미국 Colorado Dolores Upper Canyon,NR,해당 강 경험 많은 상업/비상업 보터,128응답/170발송; 문항별 n 다름,rafting,B1; A_recalled_evaluation,같은 강에서 유량·기구별 평가,15개 제시유량150–5000cfs; 순간/일평균 집계정의NR,1–5 만족도 및 최소/최적 유량 자가평가,"보트별 선호곡선이 다름; 대형래프트 최적급류 중앙값3000cfs, 최소통항1000cfs. CI NR; 최적값은 의견분산 큼.",Dolores Upper Canyon의 경험자·보트,pp124–130; Methods; Results; Figs2–5; Table2,경험자선택·회상; 선호 보트별 하위집단; Vandas1990 프로젝트 자료 재사용,다른 하천·보트·초보자에 cfs 경계 전이 불가,해외 간접,full_text_checked,낮음,장소·기구별 평가를 직접 측정; 인과/사고 검증 없음,유량·보트·하천구간 별도; 외기온을 유량 대체값으로 쓰지 않기.,원문값; 변환/재계산 없음,ac-q06;ac-o02;ac-o10
AC04,AC-S03,Dolores_Vandas1990_ShelbyWhittaker1995,empirical_peer_reviewed,Flows and Recreation Quality on the Dolores River: Integrating Overall and Specific Evaluations,Shelby B; Whittaker D,1995,NR,https://site-media.americanwhitewater.org/Document_516.pdf,우편 회상·규범평가 설문,미국 Colorado Dolores Upper Canyon,NR,해당 강 경험 많은 상업/비상업 보터,128응답/170발송; 문항별 n 다름,rafting,C_perceived_safety (사고기반 아님),최적급류와 가장안전하다고 여긴 유량,응답자가 지정한 cfs; 시간집계NR,가장안전한 유량 설문,대형래프트 안전평가 중앙값2000cfs로 최적급류3000cfs와 구분. 위험비·사고율 미측정.,경험자의 특정하천 회상,pp124–130; Methods; Results; Figs2–5; Table2,경험자선택·회상; 선호 보트별 하위집단; Vandas1990 프로젝트 자료 재사용,다른 하천·보트·초보자에 cfs 경계 전이 불가,해외 간접,full_text_checked,낮음,장소·기구별 평가를 직접 측정; 인과/사고 검증 없음,선호곡선 최댓값을 안전등급/운영한계로 사용하지 않기.,원문값; 변환/재계산 없음,ac-q06;ac-o02;ac-o10
AC05,AC-S04,Masuda2019_Waseda12_bathing_trials,empirical_peer_reviewed,Thermal and cardiovascular responses and thermal sensation during hot-water bathing and the influence of room temperature,Masuda Y; Marui S; Kato I; Fujiki M; Nakada M; Nagashima K,2019,10.1016/j.jtherbio.2019.03.014,https://waseda.elsevierpure.com/en/publications/thermal-and-cardiovascular-responses-and-thermal-sensation-during/,동일 참가자 두 입욕 실험,일본 실험실,NR,젊은 남성7·여성5,12,onsen 후보의 온수입욕 간접모형,A_thermal_sensation,동일수온에서 방15°C 대25°C,입욕전후 실내기온°C; 물41°C×20분,시각상사척도 열감,15°C에서 탈의시 춥게 느꼈으나 입욕중 열감은 두 방온도에서 비슷함. 차이값·CI NR.,물41°C; 방15/25°C; 쇄골아래까지20분,Abstract; J Thermal Biology 82:83–89,작은 표본; 순서·다중검정 원문 미확인,광천수·노천·고령/아동·질환자·실제사고 전이 불가,해외 간접,abstract_only,낮음,통제실험이나 초록만; 범위 좁음,외기온 낮을수록 온천 선호상승이라는 단독 점수곡선 보류.,원문값; 변환/재계산 없음,ac-search1;ac-q13;ac-o03;ac-o08;ac-o15;ac-o24
AC06,AC-S04,Masuda2019_Waseda12_bathing_trials,empirical_peer_reviewed,Thermal and cardiovascular responses and thermal sensation during hot-water bathing and the influence of room temperature,Masuda Y; Marui S; Kato I; Fujiki M; Nakada M; Nagashima K,2019,10.1016/j.jtherbio.2019.03.014,https://waseda.elsevierpure.com/en/publications/thermal-and-cardiovascular-responses-and-thermal-sensation-during/,동일 참가자 두 입욕 실험,일본 실험실,NR,젊은 남성7·여성5,12,onsen 후보의 온수입욕 간접모형,C_physiology (사고/안전상한 아님),동일수온에서 방15°C 대25°C,물41°C·방15/25°C; 입욕/탈의 전환,평균동맥압·피부온·혈류,차가운 방에서 탈의중 동맥압상승·피부온저하; 입욕에 따른 혈류변화가 증대. 사고위험비·CI NR.,물41°C; 방15/25°C; 쇄골아래까지20분,Abstract; J Thermal Biology 82:83–89,작은 표본; 순서·다중검정 원문 미확인,광천수·노천·고령/아동·질환자·실제사고 전이 불가,해외 간접,abstract_only,낮음,통제실험이나 초록만; 범위 좁음,쾌적감과 생리변화 분리; 낮은기온을 안전가점으로 사용하지 않기.,원문값; 변환/재계산 없음,ac-search1;ac-q13;ac-o03;ac-o08;ac-o15;ac-o24
AC07,AC-S05,AllisonReger1998_Mayo6_random_order,empirical_peer_reviewed,Comparison of responses of men to immersion in circulating water at 40.0 and 41.5 degrees C,Allison TG; Reger WE,1998,NR,https://pubmed.ncbi.nlm.nih.gov/9737754/,순서 무작위 반복입욕; 1–3주 간격,미국 실험실,NR,건강한 성인 남성,6,onsen 후보의 온수입욕 간접모형,A_thermal_comfort,41.5°C 대40.0°C,순환수온°C; 각21분,인지된 쾌적감; 측정척도 초록NR,41.5°C에서 쾌적감 감소; 초록에 쾌적감 효과크기·CI 없음. 양 조건 모두 출탕 기립시 저혈압 보고.,순환수40.0/41.5°C;21분,Abstract Methods/Results/Conclusions; Aviat Space Environ Med69(9):845–850,n6; 인지변화·사고위험 직접측정 없음,불편감·생리지표는 안전상한 검증 아님; 아동/고령자 제외,해외 간접,abstract_only,낮음,무작위 순서 실험이나 표본 매우 작고 초록한정,수온·노출시간 없는 온천 쾌적점수 보류; 해당실험으로41.5°C 안전을 주장하지 않기.,원문값; 변환/재계산 없음,ac-search1;ac-o16
AC08,AC-S06,MorrisWebb2025_BritishIrishSurvey1368,empirical_peer_reviewed,Cut Off by the Tide: How Ocean Literacy Can Help Save Lives,Morris-Webb ES; Austin M; Cousens C; Kent N; Gosney K; Tenbrink T,2025,10.17645/oas.9793,https://www.cogitatiopress.com/oceanandsociety/article/download/9793/4313,온라인 패널 설문·조석표 해석 과제·자기보고 사건,영국·아일랜드 조차 큰 연안,월NR; Table3각주2022와 윤리승인2023 표기 불일치,연령·성별·지역 비례 패널; 해안/내륙 거주자,유효1368; 고립/근접경험207,mudflat 및 연안보행(갯벌만 표본 아님),C_tidal_literacy_and_recalled_incidents,조석표 해석과 과거고립 경험,조석표 시각·해석문항; 평생회상; 해수위/유속 실측 없음,안전귀환 문항 정답; 고립/근접경험 자기보고,섬귀환 조석표문항 정답24.3%; 고립/근접경험 약15%. 경험207명 중57%가 빠른침수를 언급. CI NR.,연안이용 일반; 현지경로 위험창 추정실험 아님,§2–3; Table1 pp9–10; §3.3/Table3 pp12–14; §4,과거 고립 자기보고·회상/해석편향; 한국 표본 아님,조석표 지식이 사고감소를 유발한다는 실험 아님; 활동별 분모 없음,해외 간접,full_text_checked,낮음,대표성 고려 패널·직접 과제; 생애경험 회상,조석시각만으로 출입가능 보장하지 않기; 경로·지형·지역통제 해석검증 필요.,원문값; 변환/재계산 없음,ac-q10;ac-o14;ac-o18;ac-o19;ac-o20;ac-o21
AC09,AC-S07,KCG_Incheon_advisory_20260327,official_guidance,"인천해경, 안전사고 위험예보 ‘관심’ 발령... 해양 안전사고 주의 당부",인천해양경찰서,2026,NR,https://kcg.go.kr/inchoncgs/na/ntt/selectNttInfo.do?nttSn=68060,지역·기간 한정 공식 위험예보,한국 인천 연안,발표2026-03-27; 적용3/31–4/8,연안 이용자,NR,mudflat,C_official_safety,대조기 예보기간,지역·대조기 기간·조차/조류 정성정보,안전예보·행동수칙,큰 조차·강한 흐름과 갯벌고립 위험을 경고하고 사전물때확인·구명조끼·2인이상 동행을 권고.,인천2026-03-31–04-08 위험예보,보도자료 본문; 등록일2026.03.27,효과크기를 측정하는 연구 아님,과거 기간 예보; 현재 통제 상태를 의미하지 않음,한국 직접; 인천·명시기간에 한정,full_text_checked,정책 권위/효과 근거 아님,관할기관의 안전정보이며 선호 연구 아님,최신 관할통제·유효기간 보존; 보편적인 간조±2시간 안전공식 근거로 쓰지 않기.,원문값; 변환/재계산 없음,ac-q04;ac-o09
AC10,AC-S08,Carolli2017_Noce_model_local_guides,index_development,Modelling white-water rafting suitability in a hydropower regulated Alpine River,Carolli M; Zolezzi G; Geneletti D; Siviglia A; Carolli F; Cainelli O,2017,10.1016/j.scitotenv.2016.11.049,https://pubmed.ncbi.nlm.nih.gov/27887836/,현지 가이드 면담 기반 수심선호곡선+수문모형,이탈리아 북동부 Noce 알프스 하천,NR,지역 래프팅 가이드; 인원 미확인,NR,rafting,C_modelled_suitability_from_B1_guides,수력발전·취수 유량시나리오,수심 주요변수; 일유량→시간내 변동 재구성; 단위·경계 미확인,적합/최적 조건 누적지속시간 RHSI,현지가이드 수심선호곡선을 수문모형과 결합; 일내 수력발전 첨두유량을 별도 재구성함. 효과크기·불확실성 초록NR.,초록에서 상세 범위 미확인,Abstract; Science of the Total Environment579:1035–1049,전문가 선호·모형가정; 현장관광객 독립검증 초록미확인,수심-유량 관계는 구간별; 한국 직접곡선/사고확률 제공 아님,해외 간접,abstract_only,낮음,관련 모델구조; 수치·검증원문 접근제한,하천유량의 하루평균을 시간추천에 직접대입하지 않기; 수심-유량/댐방류 변환모형 필요.,원문값; 변환/재계산 없음,ac-q16;ac-o22;ac-o23;ac-o25;ac-o26
