query_id,date,source,query,url,title,returned_count,decision,exclusion_reason,access_status,study_id,raw_record
KR-Q01,2026-09-14,web.run search (웹 검색; DB 직접검색 아님),"""기상요소변화와 해변 관광객 유입간의 관계 분석""",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002472420,기상요소변화와 해변 관광객 유입간의 관계 분석 : 강릉지역을 중심으로,8,include,한국 직접 장소의 해변방문 맥락; 초록 한정,returned_record,KR-S01,working/kr_search_records.json
KR-Q01,2026-09-14,web.run search (웹 검색; DB 직접검색 아님),"""기상요소변화와 해변 관광객 유입간의 관계 분석""",https://www.riss.or.kr/search/detail/DetailView.do?control_no=024aad6b731cf4a0e9810257f7042666&p_mat_type=1a0202e37d52c72d,기상요소변화와 해변 관광객 유입간의 관계 분석 : 강릉지역을 중심으로 | RISS,8,duplicate,동일 DOI·동일 연구; 별도 표본 아님,returned_record,KR-S01,working/kr_search_records.json
KR-Q01,2026-09-14,web.run search (웹 검색; DB 직접검색 아님),"""기상요소변화와 해변 관광객 유입간의 관계 분석""",https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE08743987,기상요소변화와 해변 관광객 유입간의 관계 분석 : 강릉지역을 중심으로 | DBpia,8,duplicate,동일 DOI·동일 연구; 원제공 초록 열람용,returned_record,KR-S01,working/kr_search_records.json
KR-Q01,2026-09-14,web.run search (웹 검색; DB 직접검색 아님),"""기상요소변화와 해변 관광객 유입간의 관계 분석""",https://www.kci.go.kr/kciportal/po/search/poSereArtiList.kci?sereId=001491&volIsseId=VOL000110737,KCI 관광연구저널 33(5) 목차,8,exclude,논문 본문이 아닌 호목차,returned_record,,working/kr_search_records.json
KR-Q01,2026-09-14,web.run search (웹 검색; DB 직접검색 아님),"""기상요소변화와 해변 관광객 유입간의 관계 분석""",https://www.kci.go.kr/kciportal/landing/article.kci?arti_id=ART002509541,강릉의 시공간 관광객 방문지 분석과 관광 서비스 고도화 정책방향 제안,8,exclude,이번 보완질문 해당 논문 아님; 인용문헌 반환,returned_record,,working/kr_search_records.json
KR-Q01,2026-09-14,web.run search (웹 검색; DB 직접검색 아님),"""기상요소변화와 해변 관광객 유입간의 관계 분석""",https://www.earticle.net/Search/Result?djl=&page=5&ps=1D20&q=%EA%B9%80%EC%A7%84%EB%8F%99&sf=3,검색결과 - earticle,8,exclude,논문 본문이 아닌 저자 검색목록,returned_record,,working/kr_search_records.json
KR-Q01,2026-09-14,web.run search (웹 검색; DB 직접검색 아님),"""기상요소변화와 해변 관광객 유입간의 관계 분석""",https://tour.kangwon.ac.kr/tour/prof/professor.do?key=%24cms%24IwBgTAnAbEA&mode=report&pager.offset=10&reportType=thesis&siteId=,강원대학교 교수 논문목록 (반환 제목 공백),8,exclude,논문 본문이 아닌 실적목록,returned_record,,working/kr_search_records.json
KR-Q01,2026-09-14,web.run search (웹 검색; DB 직접검색 아님),"""기상요소변화와 해변 관광객 유입간의 관계 분석""",https://www.dbpia.co.kr/Journal/articleDetail?nodeId=NODE10560978,미세먼지·초미세먼지가 국내 관광수요에 미치는 영향분석 : 국민여행조사자료를 중심으로,8,exclude,이번 보완질문 해당 논문 아님; 인용문헌 반환,returned_record,,working/kr_search_records.json
KR-Q02,2026-09-14,web.run search (웹 검색; DB 직접검색 아님),"""10.21298/IJTHR.2019.5.33.5.165"" pdf",https://www.researchgate.net/publication/334202415_Analysis_of_the_relationship_between_changes_in_meteorological_elements_and_beach_visitor_influx_The_case_of_Gangneung_city,Analysis of the relationship between changes in meteorological elements and beach visitor influx : The case of Gangneung city | Request PDF,8,duplicate,동일 연구; 반환 페이지는 No full-text available 명시,returned_record_no_fulltext,KR-S01,working/kr_search_records.json
KR-Q02,2026-09-14,web.run search (웹 검색; DB 직접검색 아님),"""10.21298/IJTHR.2019.5.33.5.165"" pdf",https://www.riss.or.kr/search/detail/DetailView.do?control_no=024aad6b731cf4a0e9810257f7042666&p_mat_type=1a0202e37d52c72d,기상요소변화와 해변 관광객 유입간의 관계 분석 : 강릉지역을 중심으로 | RISS,8,duplicate,동일 연구; 유료 원문 제공처 DBpia 표시,returned_record,KR-S01,working/kr_search_records.json
